spotify_track_uri,title,artist,album,listened,skipped,ms_played,incognito_mode,offline,reason_start_trackerror,reason_start_switched-to-audio,reason_start_appload,reason_start_fwdbtn,reason_start_remote,reason_start_clickrow,reason_start_backbtn,reason_start_playbtn,reason_start_trackdone,reason_end_unexpected-exit-while-paused,reason_end_logout,reason_end_trackerror,reason_end_unknown,reason_end_endplay,reason_end_fwdbtn,reason_end_remote,reason_end_unexpected-exit,reason_end_backbtn,reason_end_trackdone
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,Blackstreet,Another Level,18,14,1637554,0,0,0,0,0,7,0,5,0,0,6,0,0,0,0,6,7,0,0,1,4
spotify:track:0Wik64zBKFTNoNjTpG70OH,Housewife,Dr. Dre,2001,18,13,1467295,0,0,0,0,0,11,0,2,0,0,5,0,0,0,0,2,10,0,0,1,5
spotify:track:7egCKT31LZ7M4Ko3WSwUOz,So Fly (J. Period Remix),Nate Dogg,A Tribute to the King of G-Funk,18,7,2426812,0,0,0,0,1,8,1,1,2,0,5,0,0,0,0,1,6,1,0,0,10
spotify:track:34xGLuxM0rkxhCVyMSqwJO,Stolen Dance,Milky Chance,Sadnecessary,18,12,2860794,0,0,0,0,1,6,0,4,1,0,6,0,1,0,0,2,10,0,0,0,5
spotify:track:3oairMMtNVnUppKwroxou4,I Know What You Want (feat. Flipmode Squad),Busta Rhymes,It Ain't Safe No More,18,15,2325196,0,0,0,0,1,4,0,6,0,0,7,0,1,0,0,6,9,0,0,0,2
spotify:track:503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,2001,18,15,877892,0,0,0,0,0,7,0,8,0,0,3,0,0,0,0,8,6,0,0,1,3
spotify:track:48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication,18,14,1678480,0,0,0,1,1,7,0,2,1,0,6,0,1,0,0,4,10,0,0,0,3
spotify:track:3j9UIPpivEXyfV67agjXKH,"All About U (ft. Nate Dogg, Snoop Dogg, Fatal, Yani Hadati)",2Pac,All Eyez On Me,18,16,791720,0,0,0,0,0,9,0,1,3,0,5,0,0,0,0,1,12,0,0,3,2
spotify:track:2AuU35arXZdYoscOIxHWSc,Rain Man,Eminem,Encore,18,13,1437835,0,0,0,0,0,15,0,1,0,0,2,0,1,0,0,3,9,0,0,1,4
spotify:track:1cA2LExLTdhHLL0FmXoc57,When It Rains It Pours,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,17,14,1085479,0,0,0,0,0,8,0,3,2,0,4,0,0,0,0,3,9,0,0,2,3
spotify:track:3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,Black Holes and Revelations,17,8,1948870,0,0,0,0,0,6,0,5,0,0,6,0,0,0,0,4,4,0,0,0,9
spotify:track:3G0yz3DZn3lfraledmBCT0,P.I.M.P.,50 Cent,Get Rich Or Die Tryin',17,12,1016513,0,0,0,0,1,11,0,2,0,0,3,0,2,0,0,3,9,0,0,0,3
spotify:track:2oaK4JLVnmRGIO9ytBE1bt,Dark Necessities,Red Hot Chili Peppers,The Getaway,17,9,1933918,0,0,0,0,2,4,0,3,1,0,7,0,2,0,0,4,5,0,0,0,6
spotify:track:0wokCRaKD0zPNhMRXAgVsr,Ordinary World,Duran Duran,Duran Duran,17,14,1930773,0,0,0,0,0,9,0,3,0,0,5,0,0,0,0,3,10,0,0,1,3
spotify:track:1RKUoGiLEbcXN4GY4spQDx,Clint Eastwood,Gorillaz,Gorillaz,17,13,1215178,0,0,0,0,1,5,0,5,0,0,6,0,2,0,0,5,8,0,0,0,2
spotify:track:5b2FFKC64kxqcfaFnIZxoM,Get Em High,Kanye West,The College Dropout,17,16,961510,0,0,0,0,0,6,0,5,0,0,6,0,0,0,0,4,12,1,0,0,0
spotify:track:0fX4oNGBWO3dSGUZcVdVV2,N95,Kendrick Lamar,Mr. Morale & The Big Steppers,17,13,953071,0,0,0,0,0,5,0,7,0,0,5,0,1,0,0,8,5,0,0,0,3
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,Strangers,17,6,1959456,0,0,0,0,0,4,0,1,1,0,11,0,0,0,0,1,4,0,0,1,11
spotify:track:3vQir0wkIdLGq3Lc4V6J2y,Chin Check,N.W.A.,The Best Of N.W.A: The Strength Of Street Knowledge,17,12,1563570,0,0,0,0,0,5,0,5,1,0,6,0,1,0,0,4,6,0,0,2,4
spotify:track:1SWVDBtw6h3tm9OehOkDhv,What's The Difference,Dr. Dre,2001,17,11,1447798,0,0,0,0,1,4,0,6,0,0,6,0,1,0,0,7,4,0,0,0,5
spotify:track:7io19rjxOFu3pGuZgBI6Pk,Drips,Eminem,The Eminem Show,17,11,1914547,0,0,0,0,0,10,0,1,1,0,5,0,0,0,0,1,9,0,0,1,6
spotify:track:2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z,The Blueprint 3,17,11,1654357,0,0,0,0,1,7,0,3,0,0,6,0,1,0,0,3,8,0,0,0,5
spotify:track:4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film ""La leçon particulière""",Francis Lai,Mayerling,17,11,816974,0,0,0,0,1,4,0,2,1,0,9,0,0,0,0,3,8,0,0,0,6
spotify:track:1oHXeD1gQQCQUYHeHp2HMU,Discombobulated,Eminem,Music To Be Murdered By - Side B,17,12,1329466,0,0,0,0,1,10,0,3,0,0,3,0,1,0,0,2,10,0,0,0,4
spotify:track:6AgMzkvClobScVCFOyxGDD,Kyrie & Luka,Eminem,The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition,17,12,1190939,0,0,0,0,1,7,0,4,0,0,5,0,2,0,0,4,7,0,0,1,3
spotify:track:5Ve4qBYAThGLTOva0hhoTa,So Bad,Eminem,Recovery,16,10,1274172,0,0,0,0,1,12,0,0,0,0,3,0,3,0,0,0,9,0,0,1,3
spotify:track:60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),Eminem,Kamikaze,16,10,1603513,0,0,0,0,0,8,0,1,1,0,6,0,0,0,0,1,8,0,0,1,6
spotify:track:4EQkcrSLF3QdlwNca7sMXY,Say What You Say,Eminem,The Eminem Show,16,11,1574219,0,0,0,0,0,9,0,1,1,0,5,0,0,0,0,1,9,0,0,1,5
spotify:track:4NGS3j6JmOx6VUaXt6VQbj,Ackrite,Dr. Dre,2001,16,11,607021,0,0,0,0,2,6,0,3,1,0,4,0,3,0,0,3,7,0,0,1,2
spotify:track:7BMO7O7ImjV8HNTH74Tshv,Cleanin' Out My Closet,Eminem,The Eminem Show,16,9,1929343,0,0,0,0,1,7,0,1,0,0,7,0,1,0,0,1,8,0,0,0,6
spotify:track:4woTEX1wYOTGDqNXuavlRC,Superman,Eminem,The Eminem Show,16,8,2819536,0,0,0,0,0,7,0,1,0,0,8,0,0,0,0,1,7,0,0,0,8
spotify:track:25tZHMv3ctlzqDaHAeuU9c,The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd,The Dark Side Of The Moon,16,10,2255890,0,0,0,0,1,7,0,7,0,0,1,0,1,0,0,8,2,0,0,0,5
spotify:track:4wzt5Rrk3W98pHXAqutuJw,Talk,Coldplay,X&Y,16,12,2243876,0,0,0,0,0,9,0,4,0,0,3,0,0,0,0,5,6,0,0,1,4
spotify:track:7387VaiHpOsSIZ5nmjseya,Barry Bonds,Kanye West,Graduation,16,11,929794,0,0,0,0,1,3,0,5,0,0,7,0,1,0,0,5,6,0,0,0,4
